date,title,company,location,salary,source,is_walkin,link
2026-07-23 07:33,Lead Power BI & MS Fabrics Analyst,Commergence,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/lead-power-bi-ms-fabrics-analyst-at-commergence-4443492139?position=2&pageNum=0&refId=j%2B%2Fx3rvX4pqsQFZHaiA8iQ%3D%3D&trackingId=DeWW9c7OEfvPy9JULtX1sQ%3D%3D
2026-07-23 07:33,Senior Data Analyst-AI/ML,"Milestone Technologies, Inc.","Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/senior-data-analyst-ai-ml-at-milestone-technologies-inc-4443809443?position=8&pageNum=0&refId=j%2B%2Fx3rvX4pqsQFZHaiA8iQ%3D%3D&trackingId=xvFGBaYSgeyxiMHcDfjIyQ%3D%3D
2026-07-23 07:33,AVP Systems Engineer- Business Intelligence (L10),Synchrony,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/avp-systems-engineer-business-intelligence-l10-at-synchrony-4440987531?position=9&pageNum=0&refId=wWO4tEhNRAEsCosguGVUKw%3D%3D&trackingId=h5i2hSdwuDQfEtdShvqfiw%3D%3D
2026-07-23 07:33,Power BI Developer - remote,Confidential,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/power-bi-developer-remote-at-confidential-4444289612?position=2&pageNum=0&refId=Hy5e3n3YK4sY45uCLGz2Xg%3D%3D&trackingId=qxOmi6eCcWzjMUjb5E2BUg%3D%3D
2026-07-23 07:33,Data Modeler,Zorba AI,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/data-modeler-at-zorba-ai-4443802185?position=1&pageNum=0&refId=4NcExI6Qq%2B4JqilrAemuHg%3D%3D&trackingId=tBb3K51yiy22NOTl1NB%2BDQ%3D%3D
2026-07-23 07:33,"Walkin drive for freshers B.com/BBA/BBM/BCA for Data from Batch 2022 to 2025 (No BSC/MBA/M.COM / BE/B.Tech/MCA)"" at Bangalore on 24th July 2026",Infosys BPM,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/walkin-drive-for-freshers-b-com-bba-bbm-bca-for-data-from-batch-2022-to-2025-no-bsc-mba-m-com-be-b-tech-mca-at-bangalore-on-24th-july-2026-at-infosys-bpm-4443800666?position=10&pageNum=0&refId=4NcExI6Qq%2B4JqilrAemuHg%3D%3D&trackingId=qVQq3g6grJN5AjQob54hlQ%3D%3D
2026-07-23 07:33,Data Engineer,HGS,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/data-engineer-at-hgs-4444291224?position=8&pageNum=0&refId=Zsm7egDL3WBxrtgLDRHTpw%3D%3D&trackingId=wIQEBNSUwTmppMaVYra0TQ%3D%3D
2026-07-23 10:22,Adobe Analytics Analyst,Citi,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/adobe-analytics-analyst-at-citi-4443837318?position=6&pageNum=0&refId=6WV2eNCIHXjbgk13dV%2BdHg%3D%3D&trackingId=lrBNUD7YfOujlCvHQpz57A%3D%3D
2026-07-23 10:22,Competitive Analytics Manager,eBay,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/competitive-analytics-manager-at-ebay-4384410436?position=7&pageNum=0&refId=6WV2eNCIHXjbgk13dV%2BdHg%3D%3D&trackingId=VmT76YudeZzr0VsZcYk4QA%3D%3D
2026-07-23 10:22,Reporting & Insights Analyst,Citi,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/reporting-insights-analyst-at-citi-4443815653?position=10&pageNum=0&refId=6WV2eNCIHXjbgk13dV%2BdHg%3D%3D&trackingId=B5w8oWIoMRl3Tw87D6lJfA%3D%3D
2026-07-23 10:22,Software Engineer Data Analytics,"Mattel, Inc.","Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/software-engineer-data-analytics-at-mattel-inc-4444282322?position=3&pageNum=0&refId=d%2FlI0hU0RsICDugAKc%2BT3g%3D%3D&trackingId=j4zMuxBd326k4BE8R%2BGu8g%3D%3D
2026-07-23 10:22,Senior Data Analyst – Business Intelligence,SAYYAM INVESTMENTS PRIVATE LIMITED,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/senior-data-analyst-%E2%80%93-business-intelligence-at-sayyam-investments-private-limited-4441096503?position=9&pageNum=0&refId=OZ0Hh8z37pINvyUAtTS1mg%3D%3D&trackingId=bgGXIltKnHynO%2BS2lBrx7Q%3D%3D
2026-07-23 10:22,Research and Data Analytics,alliantgroup,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/research-and-data-analytics-at-alliantgroup-4441095735?position=8&pageNum=0&refId=2UWGylQJEKkGAPMnoXoKZw%3D%3D&trackingId=7M%2F15hlUZK1kMCZiHStXCQ%3D%3D
2026-07-23 10:22,Data Engineer Architect,Capgemini Engineering,"Bangalore Urban, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/data-engineer-architect-at-capgemini-engineering-4441503513?position=8&pageNum=0&refId=x%2B1eL77PWrbZ8SBvdxgJAw%3D%3D&trackingId=uzvxajalOg7ffaYp6aNOag%3D%3D
2026-07-23 10:22,Senior Lead Analytics Consultant -Data Engineering & Analytics,Wells Fargo,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/senior-lead-analytics-consultant-data-engineering-analytics-at-wells-fargo-4444408722?position=10&pageNum=0&refId=x%2B1eL77PWrbZ8SBvdxgJAw%3D%3D&trackingId=0wiiI8SnwgjeG61ALthMSA%3D%3D
2026-07-23 10:22,Trainee Data Engineer,ProArch,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/trainee-data-engineer-at-proarch-4444297689?position=2&pageNum=0&refId=%2Ba0I5F8VdWdM6bO%2BhQMv5Q%3D%3D&trackingId=%2F0kqch%2Botn3kCzQjpjToYA%3D%3D
2026-07-23 10:22,FBS Data Engineer - Elastic,Capgemini,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/fbs-data-engineer-elastic-at-capgemini-4441509155?position=5&pageNum=0&refId=%2Ba0I5F8VdWdM6bO%2BhQMv5Q%3D%3D&trackingId=E1TcAv3WjXR%2BpLzp%2FveIgA%3D%3D
2026-07-23 12:10,Power BI Developer-1,PVH Corp.,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/power-bi-developer-1-at-pvh-corp-4444438031?position=1&pageNum=0&refId=imBxHxRjp3lp1mjyJNKpwQ%3D%3D&trackingId=frH5B1ztbNl0mF4U%2F2VZaA%3D%3D
2026-07-23 12:10,Analytics Operations Analyst,PVH Corp.,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/analytics-operations-analyst-at-pvh-corp-4444436204?position=10&pageNum=0&refId=imBxHxRjp3lp1mjyJNKpwQ%3D%3D&trackingId=YzFehQEnUIiG1R%2FbqdqwpQ%3D%3D
2026-07-23 12:10,Sales Planning data Analyst-Contract-30 LPA,"Trilyon, Inc.",Greater Bengaluru Area,See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/sales-planning-data-analyst-contract-30-lpa-at-trilyon-inc-4443496616?position=10&pageNum=0&refId=bOrORJF6PhjGpCSAUTHdBw%3D%3D&trackingId=5GDHWZZ2exCP64vtDHDtdA%3D%3D
2026-07-23 14:41,Data Analytics Associate,RISE Research,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/data-analytics-associate-at-rise-research-4443855822?position=2&pageNum=0&refId=593%2FRgdC1YlO9tQUKbucCA%3D%3D&trackingId=oCJL9iv%2BvI5wVbclwVUV4w%3D%3D
2026-07-23 14:41,Senior Insights Analyst – (PowerBI & FMCG),Blend,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/senior-insights-analyst-%E2%80%93-powerbi-fmcg-at-blend-4444432521?position=6&pageNum=0&refId=KIkR3G73Wk1clcw0lwRtrw%3D%3D&trackingId=rEsZp44kDI2E5voj4KjU2A%3D%3D
2026-07-23 14:41,Senior Insights Analyst (FMCG/CPG & PowerBI),Blend,Greater Hyderabad Area,See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/senior-insights-analyst-fmcg-cpg-powerbi-at-blend-4444443381?position=7&pageNum=0&refId=KIkR3G73Wk1clcw0lwRtrw%3D%3D&trackingId=aXOGHcb1P8sozmElqct7Rw%3D%3D
